strike,option_type,market_iv,bid,ask,volume,mid
360.0,put,0.6819727240482949,0.03,0.04,,0.035
365.0,put,0.6843104160180291,0.04,0.05,,0.045
370.0,put,0.6722912750849466,0.04,0.05,,0.045
375.0,put,0.6604303002792555,0.04,0.05,,0.045
380.0,put,0.6601491076842707,0.05,0.06,,0.055
385.0,put,0.648406629809525,0.05,0.06,,0.055
390.0,put,0.6368117012017265,0.05,0.06,,0.055
395.0,put,0.6253602812232459,0.05,0.06,,0.055
400.0,put,0.6233410883958364,0.06,0.07,,0.065
405.0,put,0.6120129675175798,0.06,0.07,,0.065
410.0,put,0.6088060698079765,0.07,0.08,,0.07500000000000001
415.0,put,0.597610688068795,0.07,0.08,,0.07500000000000001
420.0,put,0.5935222806659213,0.08,0.09,,0.08499999999999999
425.0,put,0.5824645103717068,0.08,0.09,,0.08499999999999999
430.0,put,0.5777026270329697,0.09,0.1,,0.095
435.0,put,0.5667843783906394,0.09,0.1,,0.095
440.0,put,0.5614966381563291,0.1,0.11,,0.10500000000000001
445.0,put,0.5507178304515554,0.1,0.11,,0.10500000000000001
450.0,put,0.5450125106582717,0.11,0.12,,0.11499999999999999
455.0,put,0.5389418059032547,0.12,0.13,,0.125
460.0,put,0.5283302889094632,0.12,0.13,,0.125
465.0,put,0.5219846627760751,0.13,0.14,,0.135
470.0,put,0.5153802086416441,0.14,0.15,,0.14500000000000002
475.0,put,0.5085537681332795,0.15,0.16,,0.155
480.0,put,0.501535639252209,0.16,0.17,,0.165
485.0,put,0.4911674460264579,0.16,0.17,,0.165
490.0,put,0.4840213653116694,0.17,0.18,,0.175
495.0,put,0.4767309142908664,0.18,0.19,,0.185
500.0,put,0.4719942646902532,0.2,0.21,,0.20500000000000002
505.0,put,0.4643257945007912,0.21,0.22,,0.215
510.0,put,0.4565696350846938,0.22,0.23,,0.225
515.0,put,0.4487355892845776,0.23,0.24,,0.235
520.0,put,0.4408321815384798,0.24,0.25,,0.245
525.0,put,0.4348910939080589,0.26,0.27,,0.265
530.0,put,0.4267793582906208,0.27,0.28,,0.275
535.0,put,0.4204269467975782,0.29,0.3,,0.295
540.0,put,0.4138426648185602,0.31,0.32,,0.315
545.0,put,0.4054691636356766,0.32,0.33,,0.325
550.0,put,0.3985918866610932,0.34,0.35,,0.345
555.0,put,0.391543497278241,0.36,0.37,,0.365
560.0,put,0.3843415175035682,0.38,0.39,,0.385
565.0,put,0.3782591799485445,0.41,0.42,,0.415
570.0,put,0.3707271653825258,0.43,0.44,,0.435
575.0,put,0.3642010669570972,0.46,0.47,,0.46499999999999997
580.0,put,0.3574500424474651,0.49,0.5,,0.495
585.0,put,0.3504969412359004,0.52,0.53,,0.525
590.0,put,0.3433609132425975,0.55,0.56,,0.555
595.0,put,0.336924878671234,0.59,0.6,,0.595
600.0,put,0.3294223693678958,0.62,0.63,,0.625
605.0,put,0.3233139583287469,0.67,0.68,,0.675
610.0,put,0.3168959160628719,0.72,0.73,,0.725
615.0,put,0.3102001013789772,0.77,0.78,,0.775
620.0,put,0.303252571172125,0.82,0.83,,0.825
625.0,put,0.2966579269148123,0.88,0.89,,0.885
630.0,put,0.2900518179682727,0.94,0.96,,0.95
635.0,put,0.2836592527021994,1.02,1.03,,1.025
640.0,put,0.2769333283010435,1.09,1.11,,1.1
645.0,put,0.2703438740642344,1.18,1.19,,1.185
650.0,put,0.2638277244227676,1.27,1.29,,1.28
655.0,put,0.2573295330401501,1.38,1.39,,1.3849999999999998
660.0,put,0.2508011575361728,1.49,1.51,,1.5
665.0,put,0.2445291251373989,1.63,1.64,,1.6349999999999998
670.0,put,0.2382537516752831,1.78,1.79,,1.7850000000000001
675.0,put,0.2320560163818623,1.95,1.96,,1.955
680.0,put,0.225853235134565,2.14,2.15,,2.145
685.0,put,0.2196944666015182,2.35,2.37,,2.3600000000000003
690.0,put,0.213713201599496,2.6,2.62,,2.6100000000000003
695.0,put,0.2076802143720673,2.88,2.9,,2.8899999999999997
700.0,put,0.2016995350805242,3.2,3.22,,3.21
701.0,put,0.2005214349442158,3.27,3.29,,3.2800000000000002
702.0,put,0.1993098305228738,3.34,3.36,,3.3499999999999996
703.0,put,0.1982456260500285,3.42,3.44,,3.4299999999999997
704.0,put,0.1969659124131527,3.49,3.51,,3.5
705.0,put,0.1958291015116565,3.57,3.59,,3.58
