strike,option_type,moneyness,market_iv,reimplied_iv,sabr_iv,market_bid,market_ask,market_mid,baw_price,absolute_diff,percent_diff,half_spreads,vega,vol_error_vol_points,predicted_price_error
408.0,put,-0.1480334067949044,0.22622,0.22740701222333465,0.222393931106979,0.39,0.4,0.395,0.3456242569224384,-0.049375743077561596,-0.1250018812090167,-9.87514861551231,0.09442050097796528,-0.501308111635565,-0.047333763044947796
409.0,put,-0.14594525338018605,0.22435,0.22540125273008493,0.22079061669494213,0.4,0.41,0.405,0.3582655567423999,-0.04673444325760012,-0.11539368705580276,-9.346888651520068,0.09753073362093743,-0.46106360351428066,-0.04496787149666082
410.0,put,-0.1438570999654677,0.2218,0.2233647994539456,0.21918759697265675,0.41,0.42,0.415,0.3714322582725593,-0.043567741727440656,-0.104982510186604,-8.713548345488123,0.10074917840010855,-0.4177202481288861,-0.042084971800074755
411.0,put,-0.14176894655074934,0.21945,0.221298588964907,0.21758484864577668,0.42,0.43,0.425,0.38514926233566565,-0.039850737664334335,-0.09376644156313961,-7.97014753286686,0.10407969697486529,-0.37137403191303264,-0.038652496705842386
412.0,put,-0.139680793136031,0.21778,0.21920348868489406,0.21598234910293987,0.43,0.44,0.435,0.3994428107924529,-0.03555718920754708,-0.08174066484493582,-7.111437841509409,0.10752627940700255,-0.3221139581954191,-0.03463571546981617
413.0,put,-0.13759263972131264,0.21532,0.21708030189168517,0.21438007648158022,0.44,0.45,0.445,0.41434056789681795,-0.03065943210318206,-0.0688976002318698,-6.131886420636406,0.11109304660766316,-0.27002254101049505,-0.029997626733598563
414.0,put,-0.13550448630659417,0.21394,0.21576619279529247,0.21277800973959168,0.46,0.47,0.46499999999999997,0.4298717071433106,-0.03512829285668939,-0.07554471582083741,-7.025658571337911,0.11478425255546654,-0.29881830557007827,-0.03429963585475244
415.0,put,-0.13341633289187582,0.21224,0.2135697855579624,0.2111761287333689,0.47,0.48,0.475,0.4460670040127731,-0.028932995987226873,-0.060911570499425,-5.786599197445369,0.11860428626598306,-0.23936568245934986,-0.02838979592466113
416.0,put,-0.13132817947715747,0.2112,0.21213687978792267,0.20957441430280327,0.49,0.5,0.495,0.46295893505537455,-0.03204106494462544,-0.06472942413055645,-6.408212988925083,0.12255767341201873,-0.2562465485119403,-0.031404980805483394
417.0,put,-0.12924002606243912,0.20827,0.20987267911301732,0.20797284836386765,0.5,0.51,0.505,0.4805817837840707,-0.024418216215929323,-0.04835290339787984,-4.88364324318586,0.12664907758333788,-0.1899830749149678,-0.024061181194426847
