strike,option_type,bid,ask,mid_db,reimplied_iv_db,reimplied_iv_proj,vendor_iv,mid_proj,diff_vp
225.0,put,0.01,0.02,0.015,0.6424766606262956,0.6424766606262956,0.642,0.015,0.0
230.0,put,0.01,0.02,0.015,0.6245716527459045,0.6245716527459045,0.6249,0.015,0.0
235.0,put,0.01,0.02,0.015,0.6070454526594043,0.6070454526594043,0.60657,0.015,0.0
240.0,put,0.01,0.02,0.015,0.5898811883821786,0.5898811883821786,0.58967,0.015,0.0
245.0,put,0.01,0.02,0.015,0.5730624749806013,0.5730624749806013,0.57333,0.015,0.0
250.0,put,0.01,0.02,0.015,0.5565760914120342,0.5565760914120342,0.55654,0.015,0.0
255.0,put,0.01,0.02,0.015,0.5404059941142969,0.5404059941142969,0.54147,0.015,0.0
260.0,put,0.01,0.02,0.015,0.5245407016852065,0.548180779670065,0.54727,0.025,-2.3640077984858454
265.0,put,0.02,0.03,0.025,0.5319940802611727,0.5319940802611727,0.53106,0.025,0.0
270.0,put,0.02,0.03,0.025,0.5160973281555947,0.5160973281555947,0.51546,0.025,0.0
275.0,put,0.02,0.03,0.025,0.5004789624011862,0.5004789624011862,0.50033,0.025,0.0
280.0,put,0.02,0.03,0.025,0.4851279567109526,0.4851279567109526,0.48431,0.025,0.0
285.0,put,0.03,0.04,0.035,0.4848328330082137,0.4848328330082137,0.48341,0.035,0.0
290.0,put,0.03,0.04,0.035,0.46958118940127586,0.4695811894012758,0.46864,0.035,5.551115123125783e-15
295.0,put,0.03,0.04,0.035,0.45457274935694253,0.4545727493569425,0.45375,0.035,5.551115123125783e-15
300.0,put,0.04,0.05,0.045,0.45061760457363204,0.450617604573632,0.44918,0.045,5.551115123125783e-15
305.0,put,0.04,0.05,0.045,0.43576045740178115,0.4357604574017811,0.43421,0.045,5.551115123125783e-15
310.0,put,0.05,0.06,0.055,0.4297035539789098,0.4297035539789098,0.42823,0.055,0.0
315.0,put,0.05,0.06,0.055,0.4150276558482731,0.4150276558482731,0.41357,0.055,0.0
320.0,put,0.06,0.07,0.065,0.40758580279886936,0.4075858027988693,0.40639,0.065,5.551115123125783e-15
325.0,put,0.07,0.08,0.07500000000000001,0.3991677908109038,0.3991677908109038,0.39729,0.075,0.0
330.0,put,0.07,0.08,0.07500000000000001,0.38469240821977163,0.3846924082197716,0.38376,0.075,5.551115123125783e-15
335.0,put,0.08,0.09,0.08499999999999999,0.3755579436590243,0.3755579436590243,0.37381,0.0849999999999999,0.0
340.0,put,0.09,0.1,0.095,0.36585827773404156,0.3658582777340415,0.36429,0.095,5.551115123125783e-15
345.0,put,0.1,0.11,0.10500000000000001,0.35570655088488967,0.3557065508848896,0.35421,0.105,5.551115123125783e-15
350.0,put,0.11,0.12,0.11499999999999999,0.34518621555277973,0.3451862155527797,0.34377,0.1149999999999999,5.551115123125783e-15
355.0,put,0.12,0.13,0.125,0.33436034570246986,0.3343603457024698,0.33283,0.125,5.551115123125783e-15
360.0,put,0.14,0.15,0.14500000000000002,0.32617479109360537,0.3261747910936053,0.32516,0.145,5.551115123125783e-15
365.0,put,0.15,0.16,0.155,0.3146367531290007,0.3146367531290007,0.31323,0.155,0.0
370.0,put,0.17,0.18,0.175,0.3052842255407785,0.3029349071713008,0.30175,0.165,0.23493183694777153
375.0,put,0.19,0.2,0.195,0.29535515571146503,0.295355155711465,0.29417,0.195,5.551115123125783e-15
380.0,put,0.21,0.22,0.215,0.2849476260311307,0.2849476260311307,0.28346,0.215,0.0
385.0,put,0.23,0.24,0.235,0.274133745624831,0.2724355888799733,0.27092,0.225,0.16981567448576818
