strike,option_type,market_iv,bid,ask,volume,mid
225.0,put,0.642,0.01,0.02,0.0,0.015
230.0,put,0.6249,0.01,0.02,0.0,0.015
235.0,put,0.60657,0.01,0.02,0.0,0.015
240.0,put,0.58967,0.01,0.02,0.0,0.015
245.0,put,0.57333,0.01,0.02,0.0,0.015
250.0,put,0.55654,0.01,0.02,1.0,0.015
255.0,put,0.54147,0.01,0.02,11.0,0.015
260.0,put,0.54727,0.02,0.03,24.0,0.025
265.0,put,0.53106,0.02,0.03,0.0,0.025
270.0,put,0.51546,0.02,0.03,0.0,0.025
275.0,put,0.50033,0.02,0.03,10.0,0.025
280.0,put,0.48431,0.02,0.03,0.0,0.025
285.0,put,0.48341,0.03,0.04,48.0,0.035
290.0,put,0.46864,0.03,0.04,10.0,0.035
295.0,put,0.45375,0.03,0.04,10.0,0.035
300.0,put,0.44918,0.04,0.05,7.0,0.045
305.0,put,0.43421,0.04,0.05,7.0,0.045
310.0,put,0.42823,0.05,0.06,10.0,0.055
315.0,put,0.41357,0.05,0.06,4.0,0.055
320.0,put,0.40639,0.06,0.07,0.0,0.065
325.0,put,0.39729,0.07,0.08,31.0,0.07500000000000001
330.0,put,0.38376,0.07,0.08,22.0,0.07500000000000001
335.0,put,0.37381,0.08,0.09,12.0,0.08499999999999999
340.0,put,0.36429,0.09,0.1,6.0,0.095
345.0,put,0.35421,0.1,0.11,20.0,0.10500000000000001
350.0,put,0.34377,0.11,0.12,26.0,0.11499999999999999
355.0,put,0.33283,0.12,0.13,0.0,0.125
360.0,put,0.32516,0.14,0.15,13.0,0.14500000000000002
365.0,put,0.31323,0.15,0.16,6.0,0.155
370.0,put,0.30175,0.16,0.17,29.0,0.165
375.0,put,0.29417,0.19,0.2,5.0,0.195
380.0,put,0.28346,0.21,0.22,432.0,0.215
385.0,put,0.27092,0.22,0.23,7.0,0.225
390.0,put,0.262,0.25,0.26,168.0,0.255
395.0,put,0.25113,0.28,0.29,677.0,0.28500000000000003
400.0,put,0.24248,0.32,0.33,1857.0,0.325
401.0,put,0.23999,0.33,0.34,0.0,0.335
402.0,put,0.23715,0.33,0.34,5.0,0.335
403.0,put,0.23515,0.34,0.35,0.0,0.345
404.0,put,0.23393,0.35,0.36,1.0,0.355
405.0,put,0.23228,0.36,0.37,9.0,0.365
406.0,put,0.22966,0.37,0.38,7.0,0.375
407.0,put,0.22785,0.38,0.39,1.0,0.385
408.0,put,0.22622,0.39,0.4,5.0,0.395
409.0,put,0.22435,0.4,0.41,0.0,0.405
410.0,put,0.2218,0.41,0.42,1815.0,0.415
411.0,put,0.21945,0.42,0.43,73.0,0.425
412.0,put,0.21778,0.43,0.44,9.0,0.435
413.0,put,0.21532,0.44,0.45,2.0,0.445
414.0,put,0.21394,0.46,0.47,0.0,0.46499999999999997
415.0,put,0.21224,0.47,0.48,850.0,0.475
416.0,put,0.2112,0.49,0.5,0.0,0.495
417.0,put,0.20827,0.5,0.51,0.0,0.505
418.0,put,0.20744,0.52,0.53,0.0,0.525
419.0,put,0.2043,0.53,0.54,1.0,0.535
420.0,put,0.20253,0.55,0.56,327.0,0.555
421.0,put,0.20168,0.57,0.58,0.0,0.575
422.0,put,0.19912,0.59,0.6,4.0,0.595
423.0,put,0.19798,0.61,0.62,2.0,0.615
424.0,put,0.19637,0.63,0.64,2.0,0.635
425.0,put,0.19424,0.65,0.66,287.0,0.655
426.0,put,0.19166,0.67,0.68,0.0,0.675
427.0,put,0.1905,0.69,0.7,0.0,0.695
428.0,put,0.18911,0.72,0.74,3.0,0.73
429.0,put,0.18688,0.75,0.76,1.0,0.755
430.0,put,0.18496,0.77,0.78,575.0,0.775
431.0,put,0.18353,0.8,0.81,120.0,0.805
432.0,put,0.18161,0.84,0.85,259.0,0.845
433.0,put,0.18017,0.87,0.88,241.0,0.875
434.0,put,0.17855,0.9,0.92,114.0,0.91
435.0,put,0.17687,0.94,0.95,907.0,0.945
436.0,put,0.17495,0.98,1.0,459.0,0.99
437.0,put,0.17303,1.02,1.04,83.0,1.03
438.0,put,0.17099,1.06,1.07,247.0,1.065
439.0,put,0.16944,1.11,1.12,303.0,1.1150000000000002
440.0,put,0.16859,1.16,1.17,13721.0,1.165
441.0,put,0.16628,1.2,1.21,223.0,1.205
442.0,put,0.16469,1.25,1.26,7690.0,1.255
443.0,put,0.16344,1.32,1.33,214.0,1.3250000000000002
444.0,put,0.16171,1.36,1.38,740.0,1.37
445.0,put,0.15935,1.43,1.44,427.0,1.435
446.0,put,0.15825,1.51,1.52,531.0,1.5150000000000001
447.0,put,0.15648,1.57,1.58,239.0,1.5750000000000002
448.0,put,0.15504,1.65,1.67,134.0,1.66
449.0,put,0.15345,1.72,1.73,121.0,1.725
450.0,put,0.15191,1.8,1.81,6543.0,1.8050000000000002
451.0,put,0.15007,1.88,1.9,248.0,1.89
452.0,put,0.14917,1.97,1.99,267.0,1.98
453.0,put,0.14702,2.07,2.09,101.0,2.08
454.0,put,0.14564,2.18,2.19,359.0,2.185
455.0,put,0.14357,2.27,2.29,945.0,2.2800000000000002
456.0,put,0.14241,2.41,2.42,170.0,2.415
457.0,put,0.14047,2.51,2.53,371.0,2.5199999999999996
458.0,put,0.1397,2.64,2.66,249.0,2.6500000000000004
459.0,put,0.13816,2.79,2.8,348.0,2.795
460.0,put,0.13646,2.94,2.96,7346.0,2.95
461.0,put,0.13488,3.06,3.08,89.0,3.0700000000000003
462.0,put,0.13401,3.26,3.28,722.0,3.2699999999999996
463.0,put,0.13209,3.41,3.43,677.0,3.42
464.0,put,0.1305,3.58,3.61,112.0,3.5949999999999998
465.0,put,0.12876,3.76,3.79,5059.0,3.775
466.0,put,0.12664,3.97,3.99,352.0,3.9800000000000004
467.0,put,0.12519,4.19,4.21,752.0,4.2
468.0,put,0.12537,4.47,4.5,236.0,4.484999999999999
469.0,put,0.12321,4.72,4.74,564.0,4.73
470.0,put,0.1216,4.93,4.97,3192.0,4.949999999999999
471.0,put,0.12075,5.25,5.28,272.0,5.265000000000001
472.0,put,0.11787,5.5,5.53,3309.0,5.515000000000001
473.0,put,0.11747,5.87,5.9,1262.0,5.885
474.0,put,0.1156,6.16,6.19,892.0,6.175000000000001
475.0,put,0.11487,6.51,6.54,2973.0,6.525
476.0,put,0.11379,6.96,6.99,258.0,6.975
479.0,call,0.1167,7.83,7.85,408.0,7.84
480.0,call,0.11781,7.5,7.53,2123.0,7.515000000000001
481.0,call,0.11366,6.74,6.77,282.0,6.755
482.0,call,0.11248,6.24,6.27,121.0,6.255
483.0,call,0.11481,5.95,5.98,498.0,5.965
484.0,call,0.11302,5.5,5.52,373.0,5.51
485.0,call,0.11284,5.11,5.13,903.0,5.12
486.0,call,0.10891,4.46,4.49,746.0,4.475
487.0,call,0.10739,4.08,4.1,148.0,4.09
488.0,call,0.10664,3.72,3.74,178.0,3.7300000000000004
489.0,call,0.10888,3.52,3.55,139.0,3.535
490.0,call,0.10809,3.25,3.27,757.0,3.26
491.0,call,0.10442,2.78,2.8,66.0,2.79
492.0,call,0.1074,2.66,2.68,338.0,2.67
493.0,call,0.10328,2.25,2.27,34.0,2.26
494.0,call,0.10489,2.14,2.17,19.0,2.1550000000000002
495.0,call,0.10204,1.82,1.83,331.0,1.8250000000000002
496.0,call,0.10372,1.73,1.75,178.0,1.74
497.0,call,0.10424,1.55,1.57,70.0,1.56
498.0,call,0.1012,1.3,1.31,98.0,1.3050000000000002
499.0,call,0.10264,1.24,1.25,483.0,1.245
500.0,call,0.10272,1.09,1.11,802.0,1.1
501.0,call,0.1,0.92,0.93,10.0,0.925
502.0,call,0.10191,0.87,0.88,870.0,0.875
505.0,call,0.09938,0.56,0.57,125.0,0.565
510.0,call,0.10045,0.31,0.32,802.0,0.315
515.0,call,0.10298,0.18,0.19,475.0,0.185
520.0,call,0.10575,0.11,0.12,183.0,0.11499999999999999
525.0,call,0.11017,0.07,0.08,25.0,0.07500000000000001
530.0,call,0.11458,0.05,0.06,9.0,0.055
535.0,call,0.11796,0.03,0.04,10.0,0.035
540.0,call,0.12613,0.03,0.04,2.0,0.035
545.0,call,0.13057,0.02,0.03,0.0,0.025
550.0,call,0.13884,0.02,0.03,3.0,0.025
555.0,call,0.13923,0.01,0.02,1.0,0.015
560.0,call,0.14672,0.01,0.02,0.0,0.015
565.0,call,0.15454,0.01,0.02,0.0,0.015
570.0,call,0.16168,0.01,0.02,0.0,0.015
575.0,call,0.16933,0.01,0.02,1.0,0.015
