strike,option_type,market_iv,bid,ask,volume,mid,vendor_iv,reimplied_iv
225.0,put,0.6424766606262956,0.01,0.02,0.0,0.015,0.642,0.6424766606262956
230.0,put,0.6245716527459045,0.01,0.02,0.0,0.015,0.6249,0.6245716527459045
235.0,put,0.6070454526594043,0.01,0.02,0.0,0.015,0.60657,0.6070454526594043
240.0,put,0.5898811883821786,0.01,0.02,0.0,0.015,0.58967,0.5898811883821786
245.0,put,0.5730624749806013,0.01,0.02,0.0,0.015,0.57333,0.5730624749806013
250.0,put,0.5565760914120342,0.01,0.02,1.0,0.015,0.55654,0.5565760914120342
255.0,put,0.5404059941142969,0.01,0.02,11.0,0.015,0.54147,0.5404059941142969
260.0,put,0.548180779670065,0.02,0.03,24.0,0.025,0.54727,0.548180779670065
265.0,put,0.5319940802611727,0.02,0.03,0.0,0.025,0.53106,0.5319940802611727
270.0,put,0.5160973281555947,0.02,0.03,0.0,0.025,0.51546,0.5160973281555947
275.0,put,0.5004789624011862,0.02,0.03,10.0,0.025,0.50033,0.5004789624011862
280.0,put,0.4851279567109526,0.02,0.03,0.0,0.025,0.48431,0.4851279567109526
285.0,put,0.4848328330082137,0.03,0.04,48.0,0.035,0.48341,0.4848328330082137
290.0,put,0.46958118940127586,0.03,0.04,10.0,0.035,0.46864,0.46958118940127586
295.0,put,0.45457274935694253,0.03,0.04,10.0,0.035,0.45375,0.45457274935694253
300.0,put,0.45061760457363204,0.04,0.05,7.0,0.045,0.44918,0.45061760457363204
305.0,put,0.43576045740178115,0.04,0.05,7.0,0.045,0.43421,0.43576045740178115
310.0,put,0.4297035539789098,0.05,0.06,10.0,0.055,0.42823,0.4297035539789098
315.0,put,0.4150276558482731,0.05,0.06,4.0,0.055,0.41357,0.4150276558482731
320.0,put,0.40758580279886936,0.06,0.07,0.0,0.065,0.40639,0.40758580279886936
325.0,put,0.3991677908109038,0.07,0.08,31.0,0.07500000000000001,0.39729,0.3991677908109038
330.0,put,0.38469240821977163,0.07,0.08,22.0,0.07500000000000001,0.38376,0.38469240821977163
335.0,put,0.3755579436590243,0.08,0.09,12.0,0.08499999999999999,0.37381,0.3755579436590243
340.0,put,0.36585827773404156,0.09,0.1,6.0,0.095,0.36429,0.36585827773404156
345.0,put,0.35570655088488967,0.1,0.11,20.0,0.10500000000000001,0.35421,0.35570655088488967
350.0,put,0.34518621555277973,0.11,0.12,26.0,0.11499999999999999,0.34377,0.34518621555277973
355.0,put,0.33436034570246986,0.12,0.13,0.0,0.125,0.33283,0.33436034570246986
360.0,put,0.32617479109360537,0.14,0.15,13.0,0.14500000000000002,0.32516,0.32617479109360537
365.0,put,0.3146367531290007,0.15,0.16,6.0,0.155,0.31323,0.3146367531290007
370.0,put,0.30293490717130084,0.16,0.17,29.0,0.165,0.30175,0.30293490717130084
375.0,put,0.29535515571146503,0.19,0.2,5.0,0.195,0.29417,0.29535515571146503
380.0,put,0.2849476260311307,0.21,0.22,432.0,0.215,0.28346,0.2849476260311307
385.0,put,0.2724355888799733,0.22,0.23,7.0,0.225,0.27092,0.2724355888799733
390.0,put,0.26296756795308773,0.25,0.26,168.0,0.255,0.262,0.26296756795308773
395.0,put,0.25285874406042225,0.28,0.29,677.0,0.28500000000000003,0.25113,0.25285874406042225
400.0,put,0.24340786356063046,0.32,0.33,1857.0,0.325,0.24248,0.24340786356063046
401.0,put,0.2416578904239174,0.33,0.34,0.0,0.335,0.23999,0.2416578904239174
402.0,put,0.23873417786686874,0.33,0.34,5.0,0.335,0.23715,0.23873417786686874
403.0,put,0.23693696981678553,0.34,0.35,0.0,0.345,0.23515,0.23693696981678553
404.0,put,0.23510160693269025,0.35,0.36,1.0,0.355,0.23393,0.23510160693269025
405.0,put,0.2332295949417659,0.36,0.37,9.0,0.365,0.23228,0.2332295949417659
406.0,put,0.23132232130537922,0.37,0.38,7.0,0.375,0.22966,0.23132232130537922
407.0,put,0.2293810662137341,0.38,0.39,1.0,0.385,0.22785,0.2293810662137341
408.0,put,0.22740701222333465,0.39,0.4,5.0,0.395,0.22622,0.22740701222333465
409.0,put,0.22540125273008493,0.4,0.41,0.0,0.405,0.22435,0.22540125273008493
410.0,put,0.2233647994539456,0.41,0.42,1815.0,0.415,0.2218,0.2233647994539456
411.0,put,0.221298588964907,0.42,0.43,73.0,0.425,0.21945,0.221298588964907
412.0,put,0.21920348868489406,0.43,0.44,9.0,0.435,0.21778,0.21920348868489406
413.0,put,0.21708030189168517,0.44,0.45,2.0,0.445,0.21532,0.21708030189168517
414.0,put,0.21576619279529247,0.46,0.47,0.0,0.46499999999999997,0.21394,0.21576619279529247
415.0,put,0.2135697855579624,0.47,0.48,850.0,0.475,0.21224,0.2135697855579624
416.0,put,0.21213687978792267,0.49,0.5,0.0,0.495,0.2112,0.21213687978792267
417.0,put,0.20987267911301732,0.5,0.51,0.0,0.505,0.20827,0.20987267911301732
418.0,put,0.20833045486174068,0.52,0.53,0.0,0.525,0.20744,0.20833045486174068
419.0,put,0.20600294740374472,0.53,0.54,1.0,0.535,0.2043,0.20600294740374472
420.0,put,0.20435934125519847,0.55,0.56,327.0,0.555,0.20253,0.20435934125519847
421.0,put,0.20265672273134028,0.57,0.58,0.0,0.575,0.20168,0.20265672273134028
422.0,put,0.20089767186293075,0.59,0.6,4.0,0.595,0.19912,0.20089767186293075
423.0,put,0.19908451758612095,0.61,0.62,2.0,0.615,0.19798,0.19908451758612095
